npi,name,owner,kind,lat,lon,service_line,taxonomy,zip,volume
1255981379,0ASIS CLUB DAY CARE CORP,Competitor,Clinic / center,25.73398391904938,-80.35855091926713,Primary Care,261QA0600X,33165,0
1295611663,1 CENTER SERVICES CORP,Competitor,Clinic / center,25.70234231562065,-80.29810530921975,Primary Care,261Q00000X,33143,0
1568907939,1 EXPERT CARE SOULTIONS INC,Competitor,Clinic / center,27.376395892832488,-80.3100130176751,Primary Care,261QD1600X,34982,0
1356868657,1 HEALTH & WELLNESS INC,Competitor,Clinic / center,27.96682523064765,-82.51508383841019,Primary Care,261Q00000X,33607,0
1558695239,1 PARADISE MEDICAL INC,Competitor,Clinic / center,25.655659046107353,-80.41100406420908,Primary Care,261QR0400X,33186,0
1568718724,1 ST CHOICE WELLNESS INC,Competitor,Clinic / center,28.555696436525125,-81.34933801969999,Primary Care,261QP3300X,32803,0
1962017582,1 STEP DENTAL,Competitor,Clinic / center,26.347190605342007,-80.15855094072735,Primary Care,261QD0000X,33433,0
1215115373,"1-4 SURGICAL SERVICES, LLC",Competitor,Clinic / center,30.453324679298845,-84.353012259018,Primary Care,261QA1903X,32304,0
1932368495,"10 TO 10 URGENT CARE, LLC",Competitor,Clinic / center,28.158887994619175,-82.40903946674027,Urgent Care,261QU0200X,33559,0
1447948526,100 CHIRO HERNANDEZ PLLC,Competitor,Clinic / center,26.2460372796453,-80.08997841593194,Primary Care,261QH0100X,33062,0
1568140986,1017 N OLIVE LLC,Competitor,Clinic / center,26.71775563229653,-80.06828406646613,Diagnostics,261QM0801X,33401,0
1912532441,"11911 PINE FOREST DRIVE, NEW PORT RITCHEY 34654",Competitor,Clinic / center,28.297102801326325,-82.6289614289279,Diagnostics,261QM0850X,34654,0
1750530747,12 KEYS REHAB INC,Competitor,Clinic / center,27.2852531082186,-80.24070821265295,Primary Care,261QR0405X,34957,0
1598036691,"12 KEYS REHAB, INC",Competitor,Clinic / center,27.2852531082186,-80.24070821265295,Primary Care,261QR0405X,34957,0
1578879375,125TH STREET NM CORP,Competitor,Clinic / center,25.89364841128133,-80.18233396084513,Primary Care,261QP2000X,33161,0
1255633046,125TH STREET NM CORP,Competitor,Clinic / center,25.89364841128133,-80.18233396084513,Diagnostics,261QM1300X,33161,0
1871451716,"13 DEGREES PHYSICAL THERAPY, LLC",Competitor,Clinic / center,27.96682523064765,-82.51508383841019,Primary Care,261QP2000X,33607,0
1508807371,180 DEGREES REHABILITATION INC,Competitor,Clinic / center,25.825298716168366,-80.31050122068191,Primary Care,261QP2000X,33166,0
1770863060,1855 TU SALUD MEDICAL CENTER INC,Competitor,Clinic / center,25.780242469521628,-80.3001075391612,Primary Care,261Q00000X,33126,0
1558008813,1LAB DIAGNOSTICS LLC,Competitor,Laboratory,27.05079637595793,-80.27246559098575,Diagnostics,291U00000X,34997,0
1588456727,1PROMED SOLUTIONS LLC,Competitor,Laboratory,26.66043328695322,-80.12735505590652,Diagnostics,291U00000X,33415,0
1275275976,1ST BEHAVIOR THERAPY GROUP INC,Competitor,Clinic / center,25.865995373011195,-80.3024616287894,Primary Care,261Q00000X,33012,0
1548871866,"1ST CALL PRIMARY CARE, LLC",Competitor,Clinic / center,29.017787009509927,-81.37835588793263,Primary Care,261QP2300X,32720,0
1578988002,1ST CARE LLC,Competitor,Clinic / center,26.188312340100865,-80.10568833546486,Urgent Care,261QU0200X,33308,0
1891414512,1ST CHOICE PROVIDERS LLC,Competitor,Clinic / center,27.985087165946585,-82.46467789035718,Primary Care,261Q00000X,33603,0
1760825699,1ST CHOICE URGENT CARE CENTER LLC,Competitor,Clinic / center,29.636628862786672,-82.60041882058567,Urgent Care,261QU0200X,32669,0
1760152508,1ST CHOICE URGENT CARE CENTER LLC,Competitor,Clinic / center,30.028103810857083,-82.39138366722179,Primary Care,261QP2300X,32054,0
1588317309,1ST CHOICE URGENT CARE CENTER LLC,Competitor,Clinic / center,29.676404413704198,-82.3726389766287,Primary Care,261QP2300X,32605,0
1376296194,1ST CHOICE URGENT CARE CENTER LLC,Competitor,Clinic / center,30.028103810857083,-82.39138366722179,Primary Care,261QP2300X,32054,0
1740915446,1ST CHOICE URGENT CARE CENTER LLC,Competitor,Clinic / center,29.636628862786672,-82.60041882058567,Primary Care,261QP2300X,32669,0
1922411347,1ST CLASS MEDICAL CENTERS OF 4 AVE INC,Competitor,Clinic / center,25.83302808691109,-80.27900644648345,Primary Care,261QH0100X,33010,0
1922508886,"1ST CLASS MENTAL HEALTH SERVICES, CORP.",Competitor,Clinic / center,25.805352021956942,-80.31701382104318,Diagnostics,261QM0801X,33122,0
1588155493,"1ST COMMUNITY SUPPORT MENTAL HEALTH SERVICES, CORP",Competitor,Clinic / center,25.66788042616917,-80.29699607249212,Diagnostics,261QM0801X,33156,0
1497349625,1ST LIGHT OF HOPE,Competitor,Clinic / center,27.2492004698919,-80.38069211764665,Primary Care,261QD1600X,34953,0
1518212711,1ST MEDICAL CHOICE INC,Competitor,Clinic / center,25.573098286999503,-80.3394870091669,Primary Care,261QH0100X,33189,0
1689969073,"1ST MEDICAL, LLC",Competitor,Clinic / center,25.70234231562065,-80.29810530921975,Primary Care,261QH0100X,33143,0
1528373040,1ST OPEN MRI.LLC,Competitor,Clinic / center,25.752938753345084,-80.23467255082853,Primary Care,261QR0208X,33145,0
1568442630,1ST SPCL OPS MEDGRP-HURLBURT,Competitor,Clinic / center,30.428216937206113,-86.70458977494283,Diagnostics,261QM1101X,32544,0
1700355963,"2 SISTERS CARE COORDINATION, LLC",Competitor,Clinic / center,26.805871068295303,-80.21578952352193,Primary Care,261QD1600X,33412,0
1992740674,2047 PALM BEACH LAKES PARTNERS LLC,Competitor,Clinic / center,26.717090444578893,-80.096871501947,Primary Care,261QA1903X,33409,0
1609940899,"2096 EAST OCEAN BOULEVARD, LC",Competitor,Clinic / center,27.20163033918774,-80.19450247013746,Primary Care,261QA1903X,34996,0
1437364320,210 FAMILY CHIROPRACTIC CENTER LLC,Competitor,Clinic / center,29.92870064591687,-81.52193274619768,Primary Care,261Q00000X,32092,0
1245615863,"2110 WEST PALM FACILITY,LLC",Competitor,Laboratory,26.717090444578893,-80.096871501947,Diagnostics,291U00000X,33409,0
1730906009,21ST CENTURY HEALTHCARE MANAGEMENT LLC,Competitor,Clinic / center,25.90312014516756,-80.30157946780366,Primary Care,261Q00000X,33014,0
1871254284,24-7 LABORATORIES LLC,Competitor,Laboratory,28.04351997699056,-82.67316867944,Diagnostics,291U00000X,34677,0
1588032759,"24/7 MD CARE, INC",Competitor,Clinic / center,25.780242469521628,-80.3001075391612,Primary Care,261Q00000X,33126,0
1548890700,2450 CHATEAU LLC,Competitor,Clinic / center,28.091201170981883,-81.4376070818996,Primary Care,261QD1600X,34759,0
1124971106,"27 INJURY & WELLNESS, LLC",Competitor,Clinic / center,28.086444397248453,-81.58724538102564,Primary Care,261Q00000X,33844,0
1073338547,2M1 HEALTHCARE INC,Competitor,Clinic / center,25.865995373011195,-80.3024616287894,Primary Care,261QP2300X,33012,0
1689248312,2REJUV MD SERVICES INC.,Competitor,Clinic / center,27.985087165946585,-82.46467789035718,Primary Care,261QH0100X,33603,0
1740038363,3 BROTHERS AUTO LEASING LLC,Competitor,Clinic / center,25.812774056038158,-80.2058373593145,Primary Care,261QR1100X,33127,0
1740230861,3 C'S DIMENSION INC,Competitor,Clinic / center,25.783958531030386,-80.23761954405835,Primary Care,261QR0400X,33125,0
1164115192,3 CARES LLC,Competitor,Health maintenance org,27.73927460362617,-82.68819202072126,Other,302R00000X,33711,0
1932949633,3 GARDENIAS ADULT DAY CENTER LLC,Competitor,Clinic / center,28.004837323717613,-82.58131004398858,Primary Care,261QA0600X,33615,0
1033704259,3 IN 1 NUTRITION LLC,Competitor,Clinic / center,27.846547427767398,-82.63144823391534,Primary Care,261Q00000X,33702,0
1194950907,30 MINUTE MEDICAL LLC,Competitor,Clinic / center,30.2177790289804,-81.75303435848889,Urgent Care,261QU0200X,32244,0
1831665694,305 MEDICAL CENTERS LLC,Competitor,Clinic / center,25.762012374346916,-80.35949888136523,Diagnostics,261QM1300X,33174,0
1144601493,305 REHAB CENTER INC,Competitor,Clinic / center,25.759322454069004,-80.40676495598153,Primary Care,261QR0400X,33184,0
1902567340,305 THERAPY CENTER CORP,Competitor,Clinic / center,25.76339922078813,-80.31268664570399,Primary Care,261QP2000X,33144,0
1356013536,305MEDICAL &REHAB CENTER INC,Competitor,Clinic / center,25.786715860908764,-80.36182558686795,Primary Care,261QP2000X,33172,0
